,chance_of_playing_next_round,chance_of_playing_this_round,dreamteam_count,element_type,id,now_cost,points_per_game,selected_by_percent,status,total_points,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
103,100.0,100.0,3,2,42,47,3.3,12.3,a,90,19.1,Dunk,2430,2,3,6,36,0,0,0,9,0,0,11,510,612.8,147.9,372.0,113.3
104,0.0,0.0,0,2,43,43,0.0,0.0,n,0,0.0,Clarke,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
105,100.0,100.0,0,4,44,54,1.5,0.7,a,29,5.4,Murray,701,1,0,2,10,0,0,0,0,0,0,0,54,58.0,46.2,205.0,30.6
106,0.0,0.0,0,4,45,52,1.5,0.1,n,3,0.6,Locadia,85,0,0,1,1,0,0,0,0,0,0,0,5,3.2,1.3,30.0,3.3
107,0.0,0.0,0,4,46,47,1.7,0.3,n,5,1.1,Andone,71,1,0,0,2,0,0,0,0,1,0,1,20,45.0,11.3,21.0,7.6
108,,,0,1,47,47,3.5,13.9,a,102,21.7,Ryan,2610,0,0,6,40,0,0,0,0,0,92,12,577,791.6,0.0,0.0,79.2
109,,,2,1,48,39,0.0,20.5,a,0,0.0,Button,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
110,,,0,3,49,62,3.0,0.5,a,69,11.1,Groß,1485,2,5,3,25,1,0,0,2,0,0,7,298,339.6,804.0,305.0,144.5
111,100.0,100.0,0,3,50,58,3.2,0.1,a,26,4.5,Jahanbakhsh,284,2,1,1,3,0,0,0,0,0,0,2,86,90.2,60.5,106.0,25.7
112,0.0,0.0,0,3,51,54,0.0,0.0,i,0,0.0,Izquierdo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
113,0.0,0.0,0,3,52,53,0.0,0.0,n,0,0.0,Knockaert,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
114,100.0,100.0,0,3,53,50,1.5,0.0,a,19,3.8,Bissouma,663,0,0,2,7,0,0,0,2,0,0,0,101,114.0,74.1,78.0,26.5
115,100.0,100.0,0,3,54,48,2.5,0.4,a,64,13.3,Pröpper,2340,1,2,5,36,1,0,0,4,0,0,2,384,461.2,379.5,243.0,108.2
116,100.0,100.0,0,3,55,46,2.3,0.2,a,30,6.5,March,880,0,1,4,12,0,0,0,2,0,0,3,99,156.8,200.5,264.0,62.2
117,100.0,100.0,3,3,56,43,0.0,0.2,a,0,0.0,Kayal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
118,100.0,100.0,0,3,57,44,2.0,1.7,a,48,10.9,Stephens,1940,0,1,4,33,0,0,0,6,0,0,1,322,357.0,226.7,86.0,67.0
